STATION,Date,Band1_Mean,Band2_Mean,Band3_Mean,Band4_Mean,Band5_Mean,Band6_Mean,Band7_Mean,Band8_Mean,Band9_Mean,Band10_Mean,Band11_Mean,Band12_Mean,Band13_Mean,TEST VALUE
Agri_Land1,29-08-2017,1232.0,913.0,688.0,394.0,369.0,393.0,395.0,333.0,339.0,90.0,13.0,74.0,36.0,0.424
Agri_Land1,21-09-2017,1179.0,857.0,622.0,339.0,292.0,268.0,265.0,210.0,205.5,57.0,8.0,50.0,24.0,0.473
Agri_Land1,14-05-2018,1186.0,888.0,674.0,427.5,383.5,347.0,339.0,283.5,295.0,126.5,9.5,160.0,128.0,0.417
Agri_Land1,15-06-2018,1257.0,984.5,794.0,595.0,555.0,532.0,534.5,466.0,500.0,204.5,9.0,365.5,311.5,0.446
Agri_Land1,17-09-2018,1233.0,910.0,642.0,370.0,326.0,308.0,293.0,242.0,235.0,88.0,8.0,62.0,39.0,0.374
Agri_Land1,30-05-2019,1043.0,736.0,525.0,282.0,243.0,218.5,207.5,167.5,162.0,70.5,8.0,51.0,34.0,0.574
Agri_Land1,17-06-2019,1339.0,1036.0,827.0,626.0,604.0,601.0,601.0,518.0,571.0,218.0,13.0,412.0,344.0,0.39
Agri_Land1,01-08-2019,1515.0,1184.0,927.0,564.0,502.0,507.5,518.0,428.0,430.5,118.5,13.0,108.0,56.0,0.391
Agri_Land1,16-08-2019,1467.0,1118.0,908.0,638.0,601.0,641.0,674.0,571.0,629.0,159.0,13.0,375.0,248.0,0.39
Agri_Land1,05-09-2019,1083.0,784.0,586.0,274.0,239.0,227.0,215.0,177.0,163.0,70.0,10.0,30.0,19.0,0.382
Agri_Land1,16-08-2021,1120.0,832.0,632.0,309.0,256.0,245.0,238.0,193.0,186.0,61.0,8.0,43.0,21.0,0.41
Agri_Land1,16-08-2022,6662.5,6825.0,6488.5,6692.5,6741.5,6779.5,6844.0,6931.5,6871.0,4275.5,1256.5,4419.5,3470.0,0.43
Agri_Land6,29-08-2017,1245.0,922.0,644.0,388.0,343.0,358.0,353.0,290.0,294.0,83.0,13.0,64.0,31.0,0.421
Agri_Land6,21-09-2017,1193.0,876.5,602.0,338.0,278.0,254.0,247.0,195.5,189.0,53.0,6.0,44.5,24.0,0.415
Agri_Land6,26-06-2018,1361.0,1066.5,822.5,613.75,571.0,593.0,610.5,518.0,557.0,179.5,20.5,345.25,274.75,0.42
